pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
ATLANTIC	scaffold1	1	500000	0.006118110644475553	2198	118	19287	55109
ATLANTIC	scaffold1	500001	1000000	0.0014493234646575281	6142	131	90387	88953
ATLANTIC	scaffold1	1000001	1500000	0.0022078692414156725	1808	67	30346	20306
PACIFIC	scaffold1	1	500000	0.009389041647106163	2567	420	44733	29663
PACIFIC	scaffold1	500001	1000000	0.0022695257473783065	5048	174	76668	102672
PACIFIC	scaffold1	1000001	1500000	0.0038336461941146922	1699	145	37823	12829
ATLANTIC	scaffold2	1	500000	0.014978295781590371	3707	942	62891	42081
ATLANTIC	scaffold2	500001	1000000	0.0	525	0	9433	5267
PACIFIC	scaffold2	1	500000	0.012489009671489089	2561	625	50044	54928
PACIFIC	scaffold2	500001	1000000	0.001752444198487364	525	19	10842	3858
ATLANTIC	scaffold3	1	500000	0.0011438642770019085	8552	196	171349	70207
ATLANTIC	scaffold3	500001	1000000	0.010144067339340635	1185	188	18533	14815
PACIFIC	scaffold3	1	500000	0.007112743449809895	5405	550	77326	164230
PACIFIC	scaffold3	500001	1000000	0.024084061744467176	728	259	10754	22594
ATLANTIC	scaffold4	1	500000	0.0036262609131070354	7619	449	123819	90353
ATLANTIC	scaffold4	500001	1000000	0.0007454555880497735	884	13	17439	7369
PACIFIC	scaffold4	1	500000	0.00317917504483452	5652	351	110406	103766
PACIFIC	scaffold4	500001	1000000	0.01124019312009656	568	149	13256	11552
ATLANTIC	scaffold5	1	500000	0.0030726289741875713	7045	262	85269	122351
ATLANTIC	scaffold5	500001	1000000	0.003527168732125834	1677	74	20980	26508
PACIFIC	scaffold5	1	500000	0.003776657093104774	5691	334	88438	119182
PACIFIC	scaffold5	500001	1000000	0.0	626	0	5482	42006
ATLANTIC	scaffold6	1	500000	0.005004564974808102	6492	444	88719	95353
ATLANTIC	scaffold6	500001	1000000	0.0005190148155138247	2254	22	42388	20808
PACIFIC	scaffold6	1	500000	0.005388419642951293	5298	511	94833	89239
PACIFIC	scaffold6	500001	1000000	0.011373445036811373	2257	672	59085	4111
ATLANTIC	scaffold7	1	500000	0.001743503772003353	3829	52	29825	89567
ATLANTIC	scaffold7	500001	1000000	0.007538524798809501	2392	385	51071	15905
PACIFIC	scaffold7	1	500000	0.0097625414827464	2808	303	31037	88355
PACIFIC	scaffold7	500001	1000000	0.010279698160950703	2127	455	44262	22714
ATLANTIC	scaffold8	1	500000	0.0024410988258425103	6825	221	90533	106307
ATLANTIC	scaffold8	500001	1000000	0.005857227193276922	4753	506	86389	47339
PACIFIC	scaffold8	1	500000	0.007605719501064801	6001	650	85462	111378
PACIFIC	scaffold8	500001	1000000	0.010554630110052159	4237	773	73238	60490
ATLANTIC	scaffold9	1	500000	0.0015165952040654279	7320	191	125940	83528
PACIFIC	scaffold9	1	500000	0.007656849057021918	5699	691	90246	119222
ATLANTIC	scaffold10	1	500000	0.007433512655642818	3838	637	85693	21911
ATLANTIC	scaffold10	500001	1000000	0.0011510298043249333	2340	47	40833	26255
PACIFIC	scaffold10	1	500000	0.009758228954267405	3443	670	68660	38944
PACIFIC	scaffold10	500001	1000000	0.0034939661891579543	2215	130	37207	29881
ATLANTIC	scaffold11	1	500000	0.0012194215183285002	3497	82	67245	30923
PACIFIC	scaffold11	1	500000	0.009433364988920544	2788	447	47385	50783
ATLANTIC	scaffold12	1	500000	0.0050188546159898	4168	185	36861	98743
ATLANTIC	scaffold12	500001	1000000	0.002512221618685497	1510	37	14728	41608
PACIFIC	scaffold12	1	500000	0.007858408730528869	3567	337	42884	92720
PACIFIC	scaffold12	500001	1000000	0.008960353504357432	1836	219	24441	31895
ATLANTIC	scaffold13	1	500000	0.00016536032013757978	1875	5	30237	23523
ATLANTIC	scaffold13	500001	1000000	0.0	662	0	11814	6750
PACIFIC	scaffold13	1	500000	0.0014541753008325154	1503	40	27507	26253
PACIFIC	scaffold13	500001	1000000	0.0034875610323180655	663	45	12903	5661
ATLANTIC	scaffold14	1	500000	0.002435154779913663	2339	66	27103	41525
PACIFIC	scaffold14	1	500000	0.0041802610114192494	1163	41	9808	58820
ATLANTIC	scaffold15	1	500000	0.005080693365212194	3511	187	36806	67046
PACIFIC	scaffold15	1	500000	0.003113363042549295	2627	102	32762	71090
ATLANTIC	scaffold16	1	500000	0.0005407678904043742	3970	36	66572	45092
ATLANTIC	scaffold16	500001	1000000	0.0008277460475126231	1963	20	24162	32762
PACIFIC	scaffold16	1	500000	0.01020899410965111	3709	721	70624	41040
PACIFIC	scaffold16	500001	1000000	0.0	1593	0	30413	26511
ATLANTIC	scaffold17	1	500000	0.0025447116590803197	3410	71	27901	78135
PACIFIC	scaffold17	1	500000	0.0013092029264536002	2510	34	25970	80066
ATLANTIC	scaffold18	1	500000	0.00042276988883638804	7714	51	120633	99839
PACIFIC	scaffold18	1	500000	0.0016209374117818474	7238	178	109813	110659
ATLANTIC	scaffold19	1	500000	0.003957344845609248	8393	583	147321	90399
PACIFIC	scaffold19	1	500000	0.005318290073870746	7583	527	99092	138628
ATLANTIC	scaffold20	1	500000	0.0009974679659326326	2463	39	39099	32329
PACIFIC	scaffold20	1	500000	0.012544603033006245	2191	450	35872	35556
ATLANTIC	scaffold21	1	500000	0.0013327451734915109	7015	142	106547	93009
