pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
PACIFIC	ATLANTIC	scaffold1	1	500000	0.018869238267650745	2108	1084	57448	112600
PACIFIC	ATLANTIC	scaffold1	500001	1000000	0.006092397440722619	4785	1036	170048	239872
PACIFIC	ATLANTIC	scaffold1	1000001	1500000	0.00984077841662981	1698	712	72352	43424
PACIFIC	ATLANTIC	scaffold2	1	500000	0.027759381898454748	2519	3018	108720	131216
PACIFIC	ATLANTIC	scaffold2	500001	1000000	0.0006112469437652812	525	14	22904	10696
PACIFIC	ATLANTIC	scaffold3	1	500000	0.011783367323815998	5330	2288	194172	357956
PACIFIC	ATLANTIC	scaffold3	500001	1000000	0.03432323533800925	722	920	26804	49420
PACIFIC	ATLANTIC	scaffold4	1	500000	0.008469340472635535	5622	1974	233076	256460
PACIFIC	ATLANTIC	scaffold4	500001	1000000	0.019962105832994993	566	590	29556	27148
PACIFIC	ATLANTIC	scaffold5	1	500000	0.0064337005485928375	5321	1154	179368	295192
PACIFIC	ATLANTIC	scaffold5	500001	1000000	0.004176455233620465	607	64	15324	93220
PACIFIC	ATLANTIC	scaffold6	1	500000	0.00909398886277499	5216	1718	188916	231820
PACIFIC	ATLANTIC	scaffold6	500001	1000000	0.01716646484792364	2254	1928	112312	32136
PACIFIC	ATLANTIC	scaffold7	1	500000	0.013878147288820142	2373	646	46548	226348
PACIFIC	ATLANTIC	scaffold7	500001	1000000	0.016351635163516353	2127	1744	106656	46432
PACIFIC	ATLANTIC	scaffold8	1	500000	0.017158080101142368	5796	3040	177176	272744
PACIFIC	ATLANTIC	scaffold8	500001	1000000	0.01829538734476641	4214	2970	162336	143328
PACIFIC	ATLANTIC	scaffold9	1	500000	0.012874090051226746	5538	2674	207704	271080
PACIFIC	ATLANTIC	scaffold10	1	500000	0.018142553866425905	3438	2974	163924	82028
PACIFIC	ATLANTIC	scaffold10	500001	1000000	0.005750590126060971	2159	458	79644	73700
PACIFIC	ATLANTIC	scaffold11	1	500000	0.017636532571664545	2779	2050	116236	108148
PACIFIC	ATLANTIC	scaffold12	1	500000	0.01116367622454278	2892	774	69332	240620
PACIFIC	ATLANTIC	scaffold12	500001	1000000	0.008800370541917554	1334	304	34544	94224
PACIFIC	ATLANTIC	scaffold13	1	500000	0.009240810717966334	1458	538	58220	64660
PACIFIC	ATLANTIC	scaffold13	500001	1000000	0.0067966903073286055	662	184	27072	15360
PACIFIC	ATLANTIC	scaffold14	1	500000	0.005919494869771113	1051	120	20272	136592
PACIFIC	ATLANTIC	scaffold15	1	500000	0.013633726551924193	2429	846	62052	175324
