pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
ATLANTIC	scaffold1	1	500000	0.0034904013961605585	546	4	1146	43962
ATLANTIC	scaffold1	500001	1000000	0.0006395906619763352	2417	6	9381	80191
ATLANTIC	scaffold1	1000001	1500000	0.00035803795202291446	938	1	2793	36939
PACIFIC	scaffold1	1	500000	0.006401617250673854	1472	19	2968	42140
PACIFIC	scaffold1	500001	1000000	0.0015168752370117557	1622	4	2637	86935
PACIFIC	scaffold1	1000001	1500000	0.00031655587211142766	1145	1	3159	36573
ATLANTIC	scaffold2	1	500000	0.011684885035808518	1053	31	2653	39767
ATLANTIC	scaffold2	500001	1000000	0.0	192	0	292	11972
PACIFIC	scaffold2	1	500000	0.020469596628537028	881	34	1661	40759
PACIFIC	scaffold2	500001	1000000	0.0	393	0	588	11676
ATLANTIC	scaffold3	1	500000	0.0014956066554496167	3377	16	10698	116254
ATLANTIC	scaffold3	500001	1000000	0.008507347254447023	648	11	1293	20379
PACIFIC	scaffold3	1	500000	0.004311975187230502	2478	57	13219	113733
PACIFIC	scaffold3	500001	1000000	0.01627906976744186	160	7	430	21242
ATLANTIC	scaffold4	1	500000	0.0010204081632653062	2719	9	8820	114548
ATLANTIC	scaffold4	500001	1000000	0.0	156	0	156	8048
PACIFIC	scaffold4	1	500000	0.003912107974180087	2772	60	15337	108031
PACIFIC	scaffold4	500001	1000000	0.0	183	0	223	7981
ATLANTIC	scaffold5	1	500000	0.0012220670391061453	1813	14	11456	82008
ATLANTIC	scaffold5	500001	1000000	0.0	377	0	737	10771
PACIFIC	scaffold5	1	500000	0.0015386094816809308	2579	32	20798	72666
PACIFIC	scaffold5	500001	1000000	0.0	34	0	34	11474
ATLANTIC	scaffold6	1	500000	0.004707211447938241	2237	25	5311	99241
ATLANTIC	scaffold6	500001	1000000	0.0	753	0	1233	53451
PACIFIC	scaffold6	1	500000	0.0011031759856006502	2601	19	17223	87329
PACIFIC	scaffold6	500001	1000000	0.007126818314946793	1888	73	10243	44441
ATLANTIC	scaffold7	1	500000	0.0005350454788657035	1169	1	1869	41727
ATLANTIC	scaffold7	500001	1000000	0.003999200159968006	1412	20	5001	41171
PACIFIC	scaffold7	1	500000	0.007679094675154087	832	76	9897	33699
PACIFIC	scaffold7	500001	1000000	0.0027100271002710027	738	2	738	45434
ATLANTIC	scaffold8	1	500000	0.005950516755402443	2668	38	6386	90382
ATLANTIC	scaffold8	500001	1000000	0.0039503386004514675	2392	21	5316	81204
PACIFIC	scaffold8	1	500000	0.008741258741258742	1425	30	3432	93336
PACIFIC	scaffold8	500001	1000000	0.0010807889759524452	1460	4	3701	82819
ATLANTIC	scaffold9	1	500000	0.00042301184433164127	3093	4	9456	97196
PACIFIC	scaffold9	1	500000	0.007162401416384999	2129	89	12426	94226
ATLANTIC	scaffold10	1	500000	0.004871008479162909	2021	27	5543	72129
